William & Mary,"Sadler Center, 200 Stadium Dr, Williamsburg, VA 23185",Jacob Adams,jaadams01@email.wm.edu,"mpham@example.com,aadamson@example.com,claing@example.com,isaunders@example.com"
Massachusetts Institute of Technology (MIT),"77 Massachusetts Avenue Cambridge, MA 02139 United States ",Olly Leonard,oleonard@example.com,"ntate@example.com,msalinas@example.com,pcraft@example.com,kmoon@example.com"
Stanford University,"450 Serra Mall, Stanford, CA 94305",Jacque Malone,jmalone@example.com,"rbeil@example.com,marias@example.com,kanthony@example.com,aslater@example.com"
Harvard University,"Cambridge, MA 02138 United States ",Rehaan Mosley,rmosley@example.com,"aadamson@example.com,claing@example.com,isaunders@example.com,tdurham@example.com"
California Institute of Technology (Caltech),"1200 East California Boulevard Pasadena, CA 91125",Winifred Mcgrath,wmcgrath@example.com,"msalinas@example.com,pcraft@example.com,kmoon@example.com,hgalloway@example.com"
University of Chicago,"5801 S Ellis Ave, Chicago, IL 60637",Moesha Pacheco,mpacheco@example.com,"marias@example.com,kanthony@example.com,aslater@example.com,abaird@example.com"
Princeton University,"Princeton, NJ 08544",Fiza Stokes,fstokes@example.com,"claing@example.com,isaunders@example.com,tdurham@example.com,ebest@example.com"
Cornell University,"Ithaca, NY 14850",Mollie Leon,mleon@example.com,"pcraft@example.com,kmoon@example.com,hgalloway@example.com,afelix@example.com"
University of Pennsylvania,"Philadelphia, PA 19104",Kuba Forrest,kforrest@example.com,"kanthony@example.com,aslater@example.com,abaird@example.com,rarmitage@example.com"
Yale University,"New Haven, CT 06520",Lleyton Healy,lhealy@example.com,"isaunders@example.com,tdurham@example.com,ebest@example.com,cnielsen@example.com"
Columbia University,"116th St & Broadway, New York, NY 10027",Misty Pham,mpham@example.com,"kmoon@example.com,hgalloway@example.com,afelix@example.com,ilu@example.com"
University of Michigan,"500 S State St, Ann Arbor, MI 48109",Nabiha Tate,ntate@example.com,"aslater@example.com,abaird@example.com,rarmitage@example.com,agay@example.com"
